development,address,longitude,latitude,metro,train,bus_tram,time_to_city_centre
19. Dzielnica / Etap IV,ul. Kolejowa 49,20.980202,52.226219,1000,1000,no,18
Aleja Słowiańska,Al. Słowiańska 25,20.965545,52.275543,500,3000,yes,19
Aleje przy Czereśniowej,Aleje Jerozolimskie 198R-198S,20.928252,52.199298,3000,3000,no,32
Aluzyjna 19,ul. Aluzyjna 19,20.943133,52.346246,3000,3000,yes,47
Apartamenty Bokserska,ul. Bokserska 56,20.994545,52.170751,3000,3000,yes,32
Apartamenty Cosmopolitan,ul. Twarda 4,21.001617,52.235376,500,1000,yes,6
Apartamenty Dolny Mokotów,ul. Sobieskiego 112,21.036260,52.201503,3000,3000,yes,18
Apartamenty Królewskie,ul. Oś Królewska,21.066314,52.164878,3000,3000,yes,34
Apartamenty Łąkowa,ul. Łąkowa 8,20.908919,52.329861,3000,3000,no,53
Apartamenty Modlińska,ul. Modlińska 39,20.986090,52.305001,3000,3000,yes,31
Apartamenty nad Potokiem,ul. Modzelewskiego 24,21.011289,52.171306,3000,3000,yes,22
Apartamenty Niemcewicza 19,ul. Niemcewicza 19,20.982573,52.221151,3000,1000,yes,11
Apartamenty Nowy Marysin,ul. Rezedowa,21.138229,52.237932,3000,1000,yes,22
Apartamenty Nowy Marysin IVa,ul. Rezedowa,21.137450,52.238135,3000,500,yes,22
Apartamenty Ogrodowa,ul. Ogrodowa 31/35,20.988849,52.238649,3000,3000,yes,14
Apartamenty Okopowa 59A,ul. Okopowa 59A,20.978671,52.250503,3000,3000,yes,23
Apartamenty Ostródzka,ul. Ostródzka 133,21.048637,52.319331,3000,3000,yes,36
Apartamenty Oszmiańska 20,ul. Oszmiańska 20,21.043866,52.268144,1000,3000,yes,27
Apartamenty Park Szczęśliwicki,ul. Przy Parku 6,20.954530,52.205868,3000,3000,no,28
Apartamenty Przy Agorze 6,ul. Przy Agorze 6,20.942059,52.294215,3000,3000,yes,28
Apartamenty przy Woronicza,ul. Woronicza,21.013489,52.189314,500,3000,yes,11
Apartamenty Sabbia,Aleja Słowiańska,20.967175,52.276079,500,3000,yes,20
Apartamenty Stylowa,ul. Stylowa,21.145083,52.221302,3000,1000,no,30
Apartamenty Targowa,ul. Targowa 10,21.046825,52.248519,500,500,yes,16
Apartamenty Włodarzewska 70,ul. Włodarzewska 70,20.949284,52.203467,3000,1000,yes,26
Apartamenty Zwoleńska,ul. Zwoleńska 119 i 121,21.161648,52.203684,3000,500,yes,33
Apartamenty/Domy Stare Włochy,ul. Poziomkowa 6,20.929518,52.208096,3000,3000,no,32
AR4 City Residence,ul. Aleja Rzeczypospolitej 4,21.078141,52.155705,3000,3000,yes,37
Aroma Park,ul. Klasyków 10,20.969957,52.332659,3000,3000,yes,41
Art Deco Sadyba,ul. Ojcowska 4E,21.071839,52.180954,3000,3000,yes,34
Aura Garden,ul. Ostródzka,21.039988,52.344037,3000,3000,no,46
Avore,ul. Cieszyńska,21.026281,52.183262,500,3000,no,14
Bartycka Residence III,ul. Bartycka,21.064603,52.212035,3000,3000,yes,26
Barwinicza 8,ul. Barwnicza 8,21.102201,52.249615,3000,500,yes,21
Bemo Park,ul. Oławska 1,20.926699,52.260577,3000,3000,yes,40
Bemowo Line,ul. Szeligowska,20.888666,52.227463,3000,3000,yes,51
Biały Dom,ul. Światowida,20.958105,52.316723,3000,3000,yes,34
Bliżej Gwiazd na Mehoffera,ul. Mehoffera,20.952277,52.328354,3000,3000,yes,46
Bruzdowa 127,ul. Bruzdowa,21.111374,52.173246,3000,3000,yes,49
