district,crimes_per100pop,unemployment_rate,cycle_paths_per_road_area,dwelling_per10pop,new_dwellings_per100pop,children_per100nursery_places,surgeries_per1000pop,pharmacies_per10000pop,libraries_per10000pop,cinema_seats_per100pop,sports_clubs_per10000pop,avg_dwelling_price10k_per_m2
Bemowo,1.7710,0.0087,0.0943,4.8511,1.1882,91.0000,0.3576,2.5195,0.5689,1.9384,1.9506,1.0195
Białołęka,1.8744,0.0081,0.0582,5.1552,3.3212,80.0000,0.3535,2.5485,0.5755,1.9426,1.7264,0.8476
Bielany,2.1365,0.0118,0.1254,5.2843,0.5135,93.0000,0.5081,2.7303,0.9859,0.0000,2.0477,1.0717
Mokotów,2.3395,0.0103,0.0969,6.0050,1.0713,90.0000,0.9292,3.7719,1.1500,3.0980,1.7480,1.2003
Ochota,3.2153,0.0107,0.1400,5.9401,0.5904,91.0000,1.1591,4.1051,1.4489,0.0000,1.3281,1.1677
Praga-Południe,2.5277,0.0132,0.1074,5.7138,1.7345,94.0000,0.7150,3.9103,1.2848,1.7753,2.1786,1.0741
Praga-Północ,4.6569,0.0177,0.1231,5.4301,0.4674,98.0000,0.7919,3.5715,1.3975,0.8478,1.2423,1.1155
Rembertów,1.2894,0.0121,0.0389,4.2326,0.5786,82.0000,0.3306,3.3061,1.2398,0.0000,2.0663,0.8239
Śródmieście,8.1719,0.0120,0.1624,6.6381,0.1033,93.0000,1.7647,5.9397,2.4964,5.9802,3.7016,1.5012
Targówek,1.6925,0.0113,0.0883,4.8167,1.4545,91.0000,0.4679,3.0655,1.3714,2.2426,1.5327,0.9335
Ursus,1.3094,0.0102,0.1272,4.8685,1.7067,87.0000,0.5533,2.1795,0.6706,1.0629,2.0118,0.8910
Ursynów,1.5587,0.0071,0.1049,4.8060,0.4465,88.0000,0.7907,3.5879,1.0631,1.9009,1.8604,1.0995
Wawer,1.5725,0.0110,0.0423,4.2958,0.8542,83.0000,0.5877,4.0489,0.9143,0.1123,3.1346,0.8759
Wesoła,1.5731,0.0095,0.0618,3.6892,0.7886,80.0000,0.6340,3.5663,1.5850,0.0000,5.1514,1.0167
Wilanów,1.4296,0.0064,0.1081,6.1990,2.4094,81.0000,0.9048,3.6193,1.0341,0.0000,3.1022,1.1776
Włochy,3.2369,0.0106,0.0611,5.7737,2.5493,85.0000,0.4962,3.0715,0.9451,0.1418,1.8901,0.9955
Wola,3.2654,0.0148,0.0951,6.7308,2.7452,90.0000,1.0120,4.0621,1.0690,0.6820,1.7104,1.2535
Żoliborz,2.0133,0.0098,0.1283,6.4078,1.0781,94.0000,0.9467,4.0574,0.9661,6.7025,1.5457,1.3179
